,open,high,low,close,adjclose,volume,ticker
2000-01-03,481.0,491.0,480.0,485.0,239.9053497314453,1210000.0,GGBR4.SA
2000-01-04,480.0,480.0,470.0,473.79998779296875,234.3653564453125,8990000.0,GGBR4.SA
2000-01-05,470.0,490.1000061035156,460.0,490.0,242.37872314453125,9920000.0,GGBR4.SA
2000-01-06,485.0,512.0,485.0,505.0,249.7984161376953,12310000.0,GGBR4.SA
2000-01-07,510.0,538.0,500.0,528.0,261.17535400390625,24570000.0,GGBR4.SA
2000-01-10,549.9000244140625,550.0,526.0,545.0,269.5844421386719,11570000.0,GGBR4.SA
2000-01-11,540.0,545.0,531.0,537.0,265.627197265625,4410000.0,GGBR4.SA
2000-01-12,540.0,545.0,534.0,545.0,269.5844421386719,4530000.0,GGBR4.SA
2000-01-13,550.0,570.0,480.0,480.0,237.43222045898438,3280000.0,GGBR4.SA
2000-01-14,530.0,550.0,520.0,540.0,267.1111755371094,5290000.0,GGBR4.SA
2000-01-17,540.0,550.0,539.9000244140625,542.0,268.1004333496094,2970000.0,GGBR4.SA
2000-01-18,542.0999755859375,582.0,542.0999755859375,580.0,286.89715576171875,7390000.0,GGBR4.SA
2000-01-19,578.0,580.0,555.0,557.0,275.52020263671875,3340000.0,GGBR4.SA
2000-01-20,560.0,560.0,530.0,545.0,269.5844421386719,2750000.0,GGBR4.SA
2000-01-21,549.0,549.0,520.0,545.0,269.5844421386719,5460000.0,GGBR4.SA
2000-01-24,545.0,545.0,535.0,535.0999755859375,264.6872863769531,1710000.0,GGBR4.SA
2000-01-25,535.0999755859375,535.0999755859375,535.0999755859375,535.0999755859375,264.6872863769531,0.0,GGBR4.SA
2000-01-26,530.0,530.0,515.0,519.9000244140625,257.1686706542969,5370000.0,GGBR4.SA
2000-01-27,530.0,530.0,520.0,525.0,259.6914367675781,7850000.0,GGBR4.SA
2000-01-28,525.0,527.0,520.0999755859375,522.0,258.2074890136719,1750000.0,GGBR4.SA
2000-01-31,500.0,510.0,500.0,500.0,247.3251495361328,4140000.0,GGBR4.SA
2000-02-01,505.0,510.0,490.0,493.0,243.86260986328125,12710000.0,GGBR4.SA
2000-02-02,495.0,500.0,495.0,500.0,247.3251495361328,8200000.0,GGBR4.SA
2000-02-03,510.0,515.0,506.0,512.0,253.26095581054688,10580000.0,GGBR4.SA
2000-02-04,515.0,520.0,500.0,500.0,247.3251495361328,3170000.0,GGBR4.SA
2000-02-07,520.0,524.0,515.0,524.0,259.1967468261719,3580000.0,GGBR4.SA
2000-02-08,521.0,540.0,521.0,540.0,267.1111755371094,8250000.0,GGBR4.SA
2000-02-09,540.0,549.0,535.0,540.0,267.1111755371094,10420000.0,GGBR4.SA
2000-02-10,540.0,540.0,530.0,535.0,264.637939453125,6620000.0,GGBR4.SA
2000-02-11,534.0,534.0,519.0,519.0,256.7235107421875,2460000.0,GGBR4.SA
2000-02-14,502.0,510.0,502.0,505.0,249.7984161376953,2580000.0,GGBR4.SA
2000-02-15,502.0,511.0,502.0,510.0,252.271728515625,2430000.0,GGBR4.SA
2000-02-16,510.0,520.0,509.8999938964844,520.0,257.2181091308594,7320000.0,GGBR4.SA
2000-02-17,515.0,523.0,514.0,519.0,256.7235107421875,4240000.0,GGBR4.SA
2000-02-18,516.5,517.0,516.5,516.5,255.4868927001953,2850000.0,GGBR4.SA
2000-02-21,517.0,525.0,516.9000244140625,521.0,257.71270751953125,7010000.0,GGBR4.SA
2000-02-22,525.0,525.0,512.0,517.0,255.7342529296875,10670000.0,GGBR4.SA
2000-02-23,518.0,522.0,515.0,517.0,255.7342529296875,14210000.0,GGBR4.SA
2000-02-24,517.0,520.0,505.0,505.0,249.7984161376953,10630000.0,GGBR4.SA
2000-02-25,505.0,505.1000061035156,503.0,503.0,248.8090362548828,52280000.0,GGBR4.SA
2000-02-28,540.0,540.0,489.0,490.0,242.37872314453125,7830000.0,GGBR4.SA
2000-02-29,500.0,500.0,490.0,491.20001220703125,242.97230529785156,2280000.0,GGBR4.SA
2000-03-01,492.0,492.0,485.0,488.0,241.3893585205078,3460000.0,GGBR4.SA
2000-03-02,490.0,490.0,487.0,487.5,241.14202880859375,5350000.0,GGBR4.SA
2000-03-03,490.0,490.0,483.5,485.0,239.9053497314453,9520000.0,GGBR4.SA
