,open,high,low,close,adjclose,volume,ticker
2006-03-09,2.195827007293701,2.2623679637908936,2.165884017944336,2.2623679637908936,1.699569582939148,38364754,TOTS3.SA
2006-03-10,2.253051996231079,2.4619879722595215,2.2490599155426025,2.3289079666137695,1.7495564222335815,12048348,TOTS3.SA
2006-03-13,2.362178087234497,2.4120829105377197,2.3289079666137695,2.3555240631103516,1.7695517539978027,3441526,TOTS3.SA
2006-03-14,2.3422160148620605,2.410752058029175,2.335561990737915,2.362178087234497,1.7745506763458252,4519069,TOTS3.SA
2006-03-15,2.3615128993988037,2.402101993560791,2.329572916030884,2.3954479694366455,1.799543857574463,3973535,TOTS3.SA
2006-03-16,2.362178087234497,2.3821399211883545,2.30561900138855,2.30561900138855,1.7320613861083984,1914630,TOTS3.SA
2006-03-17,2.306283950805664,2.3941171169281006,2.2490599155426025,2.3887939453125,1.7945448160171509,4213991,TOTS3.SA
2006-03-20,2.3615128993988037,2.4293839931488037,2.302957057952881,2.409421920776367,1.8100415468215942,2670564,TOTS3.SA
2006-03-21,2.3954479694366455,2.4752960205078125,2.375485897064209,2.4486799240112305,1.8395336866378784,6445723,TOTS3.SA
2006-03-22,2.415410041809082,2.4619879722595215,2.415410041809082,2.455333948135376,1.8445321321487427,1809431,TOTS3.SA
2006-03-23,2.4486799240112305,2.459326982498169,2.362178087234497,2.4486799240112305,1.8395336866378784,763447,TOTS3.SA
2006-03-24,2.448014974594116,2.4500110149383545,2.362178087234497,2.428718090057373,1.8245378732681274,2867437,TOTS3.SA
2006-03-27,2.4280529022216797,2.428718090057373,2.362178087234497,2.362178087234497,1.7745506763458252,3056796,TOTS3.SA
2006-03-28,2.3615128993988037,2.3615128993988037,2.195827007293701,2.3289079666137695,1.7495564222335815,10825028,TOTS3.SA
2006-03-29,2.3289079666137695,2.3887939453125,2.3022921085357666,2.3555240631103516,1.7695517539978027,5052581,TOTS3.SA
2006-03-30,2.3555240631103516,2.3947830200195312,2.3289079666137695,2.3947830200195312,1.7990443706512451,1746311,TOTS3.SA
2006-03-31,2.335561990737915,2.4087560176849365,2.335561990737915,2.3954479694366455,1.799543857574463,4250059,TOTS3.SA
2006-04-03,2.3954479694366455,2.4932620525360107,2.3788130283355713,2.4619879722595215,1.8495310544967651,3211590,TOTS3.SA
2006-04-04,2.4619879722595215,2.4619879722595215,2.3954479694366455,2.442025899887085,1.8345348834991455,1098583,TOTS3.SA
2006-04-05,2.406095027923584,2.4546689987182617,2.3954479694366455,2.442025899887085,1.8345348834991455,3234133,TOTS3.SA
2006-04-06,2.4413609504699707,2.4526729583740234,2.415410041809082,2.4486799240112305,1.8395336866378784,195370,TOTS3.SA
2006-04-07,2.448014974594116,2.4486799240112305,2.422729969024658,2.442025899887085,1.8345348834991455,279530,TOTS3.SA
2006-04-10,2.415410041809082,2.475961923599243,2.4120829105377197,2.47196888923645,1.8570289611816406,1816945,TOTS3.SA
