,open,high,low,close,adjclose,volume,ticker
2000-01-03,24.989999771118164,24.989999771118164,23.700000762939453,24.0,7.415914535522461,98.0,VIVT3.SA
2000-01-04,23.100000381469727,23.700000762939453,22.75,23.350000381469727,7.215064525604248,228.0,VIVT3.SA
2000-01-05,23.700000762939453,23.700000762939453,22.0,23.610000610351562,7.295403957366943,120.0,VIVT3.SA
2000-01-06,23.399999618530273,24.1299991607666,23.100000381469727,24.1299991607666,7.456080913543701,123.0,VIVT3.SA
2000-01-07,24.0,24.25,23.600000381469727,24.25,7.493161678314209,266.0,VIVT3.SA
2000-01-10,25.0,25.75,24.850000381469727,25.75,7.956657409667969,561.0,VIVT3.SA
2000-01-11,26.0,27.100000381469727,25.5,26.299999237060547,8.126602172851562,327.0,VIVT3.SA
2000-01-12,26.600000381469727,28.0,26.200000762939453,28.0,8.651895523071289,425.0,VIVT3.SA
2000-01-13,30.0,32.0,28.979999542236328,29.510000228881836,9.11848258972168,173.0,VIVT3.SA
2000-01-14,31.6200008392334,31.6200008392334,29.200000762939453,29.700000762939453,9.1771879196167,377.0,VIVT3.SA
2000-01-17,31.0,32.0,30.020000457763672,31.510000228881836,9.73647689819336,328.0,VIVT3.SA
2000-01-18,31.5,33.20000076293945,30.5,33.20000076293945,10.258679389953613,476.0,VIVT3.SA
2000-01-19,32.5,32.70000076293945,31.200000762939453,31.5,9.733386039733887,374.0,VIVT3.SA
2000-01-20,31.5,31.600000381469727,30.399999618530273,31.0,9.578888893127441,229.0,VIVT3.SA
2000-01-21,31.0,31.100000381469727,30.299999237060547,30.5,9.42439079284668,250.0,VIVT3.SA
2000-01-24,30.0,31.200000762939453,30.0,30.520000457763672,9.430572509765625,44.0,VIVT3.SA
2000-01-25,30.520000457763672,30.520000457763672,30.520000457763672,30.520000457763672,9.430572509765625,0.0,VIVT3.SA
2000-01-26,30.5,31.399999618530273,30.479999542236328,31.200000762939453,9.640687942504883,236.0,VIVT3.SA
2000-01-27,31.5,32.150001525878906,31.5,32.0,9.887884140014648,276.0,VIVT3.SA
2000-01-28,32.0,32.0,30.479999542236328,31.020000457763672,9.58506965637207,203.0,VIVT3.SA
2000-01-31,30.799999237060547,30.799999237060547,30.200000762939453,30.399999618530273,9.393491744995117,206.0,VIVT3.SA
2000-02-01,31.989999771118164,31.989999771118164,30.799999237060547,31.25,9.656135559082031,176.0,VIVT3.SA
2000-02-02,32.29999923706055,33.29999923706055,31.700000762939453,31.899999618530273,9.856983184814453,353.0,VIVT3.SA
2000-02-03,32.0,33.88999938964844,32.0,33.29999923706055,10.289579391479492,409.0,VIVT3.SA
2000-02-04,34.5,35.0,33.900001525878906,33.900001525878906,10.474973678588867,308.0,VIVT3.SA
2000-02-07,35.0,35.0,33.0,34.0,10.505877494812012,319.0,VIVT3.SA
2000-02-08,35.0,35.29999923706055,34.599998474121094,35.29999923706055,10.907572746276855,209.0,VIVT3.SA
2000-02-09,36.0,37.0,35.20000076293945,35.70000076293945,11.031168937683105,314.0,VIVT3.SA
2000-02-10,37.0,37.0,35.70000076293945,36.29999923706055,11.216567039489746,310.0,VIVT3.SA
2000-02-11,36.0,37.20000076293945,36.0,36.099998474121094,11.154764175415039,332.0,VIVT3.SA
2000-02-14,36.0,37.099998474121094,36.0,36.5099983215332,11.281457901000977,320.0,VIVT3.SA
2000-02-15,36.0,36.400001525878906,35.5,36.0,11.123870849609375,287.0,VIVT3.SA
2000-02-16,35.0,36.0,34.0,35.310001373291016,10.91065788269043,160.0,VIVT3.SA
2000-02-17,35.0,35.54999923706055,35.0,35.5,10.969368934631348,175.0,VIVT3.SA
2000-02-18,35.5,35.5,34.31999969482422,34.31999969482422,10.604751586914062,140.0,VIVT3.SA
2000-02-21,34.0,35.0,33.5,34.79999923706055,10.753073692321777,126.0,VIVT3.SA
